data,load,GRU,lstm,RF,LM,GB,SVM,SVR,Target2
2013/1/9 4:00,41945.54,40379.33594,40361.24219,41147.08578,37739.45085,42519.3127,42483.60498,45703.19936,39864.37
2013/1/9 5:00,44614.57,42216.85156,42138.44531,44720.50249,40337.87654,45041.12922,44583.62451,48540.07476,42228.55
2013/1/9 6:00,51520.56,48423.23047,48377.71094,50462.88732,46558.31331,50807.50387,50058.48271,56873.69312,49059.92
2013/1/9 7:00,57884.19,54229.73828,54585.19531,57163.79133,52649.93795,58268.62967,56909.98209,63818.30048,55838.51
2013/1/9 8:00,60185.58,57817.05469,57482.5625,58935.06457,54719.99566,60732.95515,60298.08914,64597.74537,57972.46
2013/1/9 9:00,59755.15,58075.56641,57914.64063,59035.85739,53983.38544,59565.23891,60332.72224,63660.03233,58018.87
2013/1/9 10:00,60591.44,58333.01953,58414.03906,60530.82551,54061.74362,61110.44987,61153.10179,64175.53002,58651.32
2013/1/9 11:00,61851.79,59302.80078,59616.19141,61729.14617,54907.42863,62114.38427,62369.56718,65060.90344,59453.03
2013/1/9 12:00,61144.72,58779.00391,59064.21875,61242.17261,54116.37227,62357.37771,61850.10041,63845.53728,59081.75
2013/1/9 13:00,60947.25,58349.45703,58276.87109,60932.2801,53656.75111,61845.10618,61582.9177,63604.43892,58816.03
2013/1/9 14:00,60065.46,57851.64844,57859.33984,59998.97489,52739.63174,61030.08318,60713.43479,62533.07626,58445.66
2013/1/9 15:00,59480.33,58048.01953,57584.07422,59215.01515,52032.85153,59901.50998,60090.52497,61832.30494,58354.66
2013/1/9 16:00,59660.51,58461.14453,57667.83594,59109.31117,51886.82634,60405.184,60284.03796,61544.05225,58751.42
2013/1/9 17:00,61205.69,61360.16406,60875.43359,61199.76641,52966.82512,62005.72601,61852.42253,62640.26702,60990.02
2013/1/9 18:00,60487.7,62170.42578,62496.41016,60308.07449,52551.53497,61259.50616,61188.44361,61655.65369,60727.03
2013/1/9 19:00,58386.51,58928.94531,59244.53125,58589.61179,50751.09439,59358.26107,59015.31747,59635.0539,59311.07
2013/1/9 20:00,54549.04,56388.79688,56690.48438,54815.57566,47529.10202,55746.99156,54982.28151,55995.99498,55969.55
2013/1/9 21:00,51347.66,53223.04297,53418.40234,51135.92585,44532.93387,53127.24523,51664.52347,52693.46275,53000.22
